accuracy,failures,budget
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,32.0,50
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,62.0,100
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,124.0,200
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,247.0,400
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
0.8989663221073692,303.0,800
